County,variable,value
Waynesboro city,mean_occ_status_occupied,1.0358122544577606
Westmoreland County,mean_occ_status_occupied,-16.43153422233437
Williamsburg city,mean_occ_status_occupied,2.468809052424872
Winchester city,mean_occ_status_occupied,NaN
Wise County,mean_occ_status_occupied,NaN
Wythe County,mean_occ_status_occupied,-4.052966158860893
York County,mean_occ_status_occupied,2.418748119015931
NA,mean_occ_status_occupied,9.513636363636364
Accomack County,mean_occ_status_vacant,NaN
Albemarle County,mean_occ_status_vacant,1.7047605359566607
Alexandria city,mean_occ_status_vacant,NaN
Alleghany County,mean_occ_status_vacant,1.6742577836038806
Amelia County,mean_occ_status_vacant,1.7391829562925545
Amherst County,mean_occ_status_vacant,NaN
Appomattox County,mean_occ_status_vacant,3.0955400138306373
Arlington County,mean_occ_status_vacant,NaN
Augusta County,mean_occ_status_vacant,NaN
Bath County,mean_occ_status_vacant,5.115384615384615
Bedford County,mean_occ_status_vacant,2.8139948227196236
Bland County,mean_occ_status_vacant,4.189873417721519
Botetourt County,mean_occ_status_vacant,1.484453084458606
Bristol city,mean_occ_status_vacant,NaN
Brunswick County,mean_occ_status_vacant,2.4307929915155606
Buchanan County,mean_occ_status_vacant,NaN
Buckingham County,mean_occ_status_vacant,NaN
Buena Vista city,mean_occ_status_vacant,1.3567251461988303
Campbell County,mean_occ_status_vacant,2.0572151246374
Caroline County,mean_occ_status_vacant,NaN
Carroll County,mean_occ_status_vacant,4.3918258864286495
Charles City County,mean_occ_status_vacant,2.6916497481013613
Charlotte County,mean_occ_status_vacant,3.1892994571566002
Charlottesville city,mean_occ_status_vacant,NaN
Chesapeake city,mean_occ_status_vacant,1.113736288061892
Chesterfield County,mean_occ_status_vacant,1.0517443547830734
Clarke County,mean_occ_status_vacant,2.005317450178845
Colonial Heights city,mean_occ_status_vacant,NaN
Covington city,mean_occ_status_vacant,0.6974880382775119
Craig County,mean_occ_status_vacant,NaN
Culpeper County,mean_occ_status_vacant,1.8864742939075518
Cumberland County,mean_occ_status_vacant,NaN
Danville city,mean_occ_status_vacant,1.539330186141237
Dickenson County,mean_occ_status_vacant,NaN
Dinwiddie County,mean_occ_status_vacant,NaN
Emporia city,mean_occ_status_vacant,0.23463385354141658
Essex County,mean_occ_status_vacant,NaN
Fairfax city,mean_occ_status_vacant,NaN
Fairfax County,mean_occ_status_vacant,0.8096303181726527
Falls Church city,mean_occ_status_vacant,NaN
Fauquier County,mean_occ_status_vacant,NaN
Floyd County,mean_occ_status_vacant,NaN
Fluvanna County,mean_occ_status_vacant,NaN
Franklin city,mean_occ_status_vacant,1.6038961038961037
Franklin County,mean_occ_status_vacant,3.8095909133038988
Frederick County,mean_occ_status_vacant,NaN
Fredericksburg city,mean_occ_status_vacant,1.5036604653988475
Galax city,mean_occ_status_vacant,2.4705128205128206
Giles County,mean_occ_status_vacant,NaN
Gloucester County,mean_occ_status_vacant,1.8767420566394788
Goochland County,mean_occ_status_vacant,1.1810866574823922
Grayson County,mean_occ_status_vacant,4.853910854688056
Greene County,mean_occ_status_vacant,NaN
Greensville County,mean_occ_status_vacant,0.0856269113149847
Halifax County,mean_occ_status_vacant,NaN
Hampton city,mean_occ_status_vacant,1.753421344060096
Hanover County,mean_occ_status_vacant,0.7003509529480255
Harrisonburg city,mean_occ_status_vacant,NaN
Henrico County,mean_occ_status_vacant,NaN
Henry County,mean_occ_status_vacant,2.02931156572791
Highland County,mean_occ_status_vacant,NaN
Hopewell city,mean_occ_status_vacant,NaN
Isle of Wight County,mean_occ_status_vacant,1.6899914664672033
James City County,mean_occ_status_vacant,NaN
King and Queen County,mean_occ_status_vacant,NaN
King George County,mean_occ_status_vacant,1.4632003968253968
King William County,mean_occ_status_vacant,NaN
Lancaster County,mean_occ_status_vacant,5.900610583446404
Lee County,mean_occ_status_vacant,1.7789510944037357
Lexington city,mean_occ_status_vacant,0.6836158192090396
Loudoun County,mean_occ_status_vacant,0.9765986779344262
Louisa County,mean_occ_status_vacant,3.72859734477959
Lunenburg County,mean_occ_status_vacant,NaN
Lynchburg city,mean_occ_status_vacant,1.0858589183120544
Madison County,mean_occ_status_vacant,2.4477783121832104
Manassas city,mean_occ_status_vacant,NaN
Manassas Park city,mean_occ_status_vacant,NaN
Martinsville city,mean_occ_status_vacant,2.7509718292521645
Mathews County,mean_occ_status_vacant,NaN
Mecklenburg County,mean_occ_status_vacant,5.163040108142037
Middlesex County,mean_occ_status_vacant,NaN
Montgomery County,mean_occ_status_vacant,NaN
Nelson County,mean_occ_status_vacant,NaN
New Kent County,mean_occ_status_vacant,1.4429459699532692
Newport News city,mean_occ_status_vacant,1.8568273158153674
Norfolk city,mean_occ_status_vacant,1.5568347283174084
Northampton County,mean_occ_status_vacant,5.7192927447261
Northumberland County,mean_occ_status_vacant,5.407025865039978
Norton city,mean_occ_status_vacant,NaN
Nottoway County,mean_occ_status_vacant,-1.0511063218390806
Orange County,mean_occ_status_vacant,NaN
Page County,mean_occ_status_vacant,3.583955530177931
Patrick County,mean_occ_status_vacant,NaN
Petersburg city,mean_occ_status_vacant,1.996999342508173
Pittsylvania County,mean_occ_status_vacant,2.0101012549659125
Poquoson city,mean_occ_status_vacant,NaN
Portsmouth city,mean_occ_status_vacant,1.144767899543821
Powhatan County,mean_occ_status_vacant,0.3309395610938169
Prince Edward County,mean_occ_status_vacant,2.8803554936481763
Prince George County,mean_occ_status_vacant,1.6210085882530807
Prince William County,mean_occ_status_vacant,0.9200070735590188
Pulaski County,mean_occ_status_vacant,NaN
Radford city,mean_occ_status_vacant,2.5631132571888444
Rappahannock County,mean_occ_status_vacant,2.883896518320132
Richmond city,mean_occ_status_vacant,NaN
Richmond County,mean_occ_status_vacant,2.82176906779661
Roanoke city,mean_occ_status_vacant,1.7735431412432205
Roanoke County,mean_occ_status_vacant,1.3930616904724376
Rockbridge County,mean_occ_status_vacant,3.6030718361381977
Rockingham County,mean_occ_status_vacant,2.222138985926178
Russell County,mean_occ_status_vacant,2.7314007580562967
Salem city,mean_occ_status_vacant,1.2014600400985067
Scott County,mean_occ_status_vacant,3.324780683102933
Shenandoah County,mean_occ_status_vacant,NaN
Smyth County,mean_occ_status_vacant,2.717833163906913
Southampton County,mean_occ_status_vacant,2.1777896098256346
Spotsylvania County,mean_occ_status_vacant,1.4798988285025119
Stafford County,mean_occ_status_vacant,NaN
Staunton city,mean_occ_status_vacant,2.1252115167066288
Suffolk city,mean_occ_status_vacant,0.8594223237937163
Surry County,mean_occ_status_vacant,2.476473127563134
Sussex County,mean_occ_status_vacant,0.8691552187242438
Tazewell County,mean_occ_status_vacant,2.799373653506523
Virginia Beach city,mean_occ_status_vacant,1.5961995700177627
Warren County,mean_occ_status_vacant,NaN
Washington County,mean_occ_status_vacant,NaN
Waynesboro city,mean_occ_status_vacant,0.8990864098873808
Westmoreland County,mean_occ_status_vacant,3.8848630934966484
Williamsburg city,mean_occ_status_vacant,1.8255754146843257
Winchester city,mean_occ_status_vacant,NaN
Wise County,mean_occ_status_vacant,NaN
Wythe County,mean_occ_status_vacant,1.9809362056421491
York County,mean_occ_status_vacant,1.4764508220324943
NA,mean_occ_status_vacant,2.4577464788732395
Accomack County,mean_value_less10,NaN
Albemarle County,mean_value_less10,-3.2124492304849683
Alexandria city,mean_value_less10,NaN
Alleghany County,mean_value_less10,-50.22373247831627
Amelia County,mean_value_less10,-6.6838235294117645
Amherst County,mean_value_less10,NaN
Appomattox County,mean_value_less10,-11.078014184397162
Arlington County,mean_value_less10,NaN
Augusta County,mean_value_less10,NaN
Bath County,mean_value_less10,-9.26923076923077
Bedford County,mean_value_less10,0.8133180400927539
Bland County,mean_value_less10,-22.726851851851855
Botetourt County,mean_value_less10,-6.8198261501570325
Bristol city,mean_value_less10,NaN
Brunswick County,mean_value_less10,-21.98544997486174
Buchanan County,mean_value_less10,NaN
Buckingham County,mean_value_less10,NaN
Buena Vista city,mean_value_less10,-6.790697674418604
Campbell County,mean_value_less10,-5.138456568610078
Caroline County,mean_value_less10,NaN
Carroll County,mean_value_less10,-20.950058399762344
Charles City County,mean_value_less10,-16.99404761904762
Charlotte County,mean_value_less10,-49.727658805457665
Charlottesville city,mean_value_less10,NaN
Chesapeake city,mean_value_less10,-2.3200375408941913
